0,dijet,1.0,4,1.814544365e-05
1,dijet,1.0,3,0
2,dijet,0.641729405602,4,0.0112911155716
3,dijet,0.157465635979,3,0
4,dijet,0.206196448743,3,0
5,dijet,0.0907115416519,3,0
6,dijet,0.176980394442,3,0
7,dijet,0.876715026329,3,0
8,dijet,0.20319157035,3,0
8,dijet,0.20319157035,3,0
9,dijet,0.918837208432,5,0
10,dijet,0.507320752836,3,0
11,dijet,999,999,0
12,dijet,0.719318661204,3,0
13,dijet,1.0,3,0
14,dijet,0.929984870732,5,0
15,dijet,0.696592460746,3,0
0,atlas,0.409171291473,4,6.0652641826e-05
1,atlas,0.614697062311,3,0
2,atlas,0.1322207898,4,0.0282739146151
3,atlas,0.160799192722,3,0
4,atlas,0.30695962053,3,0
5,atlas,0.250326255929,3,0
6,atlas,0.219930205779,3,0
7,atlas,1.0,3,0
8,atlas,0.385705127222,3,0
9,atlas,1.0,3,0
10,atlas,0.549261375914,3,0
11,atlas,0.0569691813731,4,0.037941367185
12,atlas,1.0,3,0
13,atlas,1.0,3,0
14,atlas,1.0,3,0
15,atlas,0.651843259644,3,0
0,dipho,999,999,0
1,dipho,0.587297995259,3,0
2,dipho,999,999,0
3,dipho,1.0,5,0
4,dipho,0.279121097441,3,0
5,dipho,0.274345409824,5,0
6,dipho,0.495427837982,3,0
7,dipho,1.0,5,0
8,dipho,0.68837557978,5,0
9,dipho,0.627151035614,5,0
10,dipho,0.876717962918,5,0
11,dipho,1.0,5,0
12,dipho,0.817586537072,5,0
13,dipho,1.0,3,0
14,dipho,0.904703192315,5,0
15,dipho,1.0,3,0
0,moddijet,1.0,4,9.58537983672e-05
2,moddijet,0.610979677759,4,0.0176341923709
3,moddijet,0.147447673054,3,0
4,moddijet,0.240732561836,3,0
5,moddijet,0.111539618928,3,0
6,moddijet,0.250266682946,3,0
7,moddijet,0.893711479597,3,0
9,moddijet,1.0,3,0
12,moddijet,0.645788297625,3,0
13,moddijet,1.0,3,0
15,moddijet,0.646937509162,3,0
