440,0.024,1
430,0.023,1
510,0.008,1
510,0.009,1
430,0.009,1
500,0.008,1
520,0.008,1
310,0.009,0p1
510,0.008,0p1
520,0.009,0p1
420,0.009,0p1
510,0.009,0p1
430,0.009,0p1
500,0.008,0p1
520,0.008,0p1
510,0.008,0p01
440,0.024,1
430,0.023,1
510,0.008,1
510,0.009,1
430,0.009,1
500,0.008,1
520,0.008,1
310,0.009,0p1
510,0.008,0p1
520,0.009,0p1
420,0.009,0p1
510,0.009,0p1
430,0.009,0p1
500,0.008,0p1
520,0.008,0p1
510,0.008,0p01
520,0.009,0p01
420,0.009,0p01
430,0.009,0p01
520,0.008,0p01
520,0.008,10
420,0.009,10
440,0.024,1
430,0.023,1
510,0.008,1
510,0.009,1
430,0.009,1
500,0.008,1
520,0.008,1
310,0.009,0p1
510,0.008,0p1
520,0.009,0p1
420,0.009,0p1
510,0.009,0p1
430,0.009,0p1
500,0.008,0p1
520,0.008,0p1
510,0.008,0p01
520,0.009,0p01
420,0.009,0p01
430,0.009,0p01
520,0.008,0p01
520,0.008,10
420,0.009,10
310,0.009,10
510,0.009,10
510,0.008,10
510,0.008,100
520,0.009,100
510,0.009,100
430,0.009,100
520,0.008,100
440,0.024,1
430,0.023,1
510,0.008,1
510,0.009,1
430,0.009,1
500,0.008,1
520,0.008,1
310,0.009,0p1
510,0.008,0p1
520,0.009,0p1
420,0.009,0p1
510,0.009,0p1
430,0.009,0p1
500,0.008,0p1
520,0.008,0p1
510,0.008,0p01
520,0.009,0p01
420,0.009,0p01
430,0.009,0p01
520,0.008,0p01
520,0.008,10
420,0.009,10
310,0.009,10
510,0.009,10
510,0.008,10
510,0.008,100
520,0.009,100
510,0.009,100
430,0.009,100
520,0.008,100
