,xmass,phimass,oEvents,cEvents,eff
0,300,30.0,84362,3,3.556103458903298e-05
1,500,50.0,41427,0,0.0
2,200,10.0,79083,193,0.0024404739324507163
3,400,6.0,18757,5664,0.3019672655541931
4,3000,15.0,13521,7194,0.532061238074107
5,1500,45.0,44567,4459,0.10005160769178989
6,2000,10.0,13127,6132,0.4671288184657576
7,1500,75.0,47318,0,0.0
8,3000,90.0,47641,5001,0.10497260762788355
9,3000,150.0,20237,0,0.0
10,1000,250.0,24767,0,0.0
11,750,7.5,12138,3340,0.2751688910858461
12,2000,100.0,24555,0,0.0
13,500,25.0,91110,38,0.00041707825705191527
14,600,18.0,44778,3419,0.07635445977935594
15,1500,375.0,14741,0,0.0
16,300,1.5,17407,2818,0.161888895272017
17,400,10.0,20729,3305,0.15943846784697766
18,400,20.0,83582,57,0.000681965016391089
19,500,2.5,11140,2740,0.2459605026929982
20,600,150.0,23728,0,0.0
21,300,6.0,18820,4350,0.23113708820403825
22,300,3.0,17951,2609,0.14534009247395688
23,1500,7.5,12684,5400,0.42573320719016083
24,3000,300.0,14724,0,0.0
25,3000,1200.0,14950,0,0.0
26,750,187.5,23881,0,0.0
27,400,100.0,44924,0,0.0
28,600,240.0,23586,0,0.0
29,3000,60.0,14241,5239,0.36788146899796365
30,1500,600.0,14880,0,0.0
31,2000,30.0,13432,6433,0.4789309112567004
32,3000,75.0,23962,5565,0.2322427176362574
33,2000,500.0,14955,0,0.0
34,400,12.0,42554,3060,0.07190863373595902
35,2000,200.0,14368,0,0.0
36,1500,37.5,23084,5156,0.2233581701611506
37,300,9.0,41764,2802,0.067091274782109
38,200,80.0,84030,0,0.0
39,1000,5.0,11935,4279,0.3585253456221198
40,2000,20.0,13393,6546,0.488762786530277
41,1500,15.0,11968,4890,0.40858957219251335
42,1000,10.0,12393,3964,0.31985798434600177
43,1000,15.0,11873,4820,0.4059631095763497
44,750,15.0,20965,6124,0.2921058907703315
45,600,15.0,21951,3824,0.1742061865063095
46,500,15.0,44221,3344,0.07562018045724882
47,600,12.0,20290,5753,0.28353868900936424
48,500,10.0,20542,5485,0.26701392269496643
49,200,3.0,33292,4704,0.14129520605550883
50,200,2.0,33147,2320,0.0699912510936133
51,200,1.0,33042,3039,0.09197385146177592
52,400,160.0,45716,0,0.0
53,200,6.0,75194,4398,0.05848870920552172
54,200,5.0,35579,4249,0.1194243795497344
55,200,4.0,34392,5364,0.15596650383810187
56,600,6.0,11652,2891,0.2481119121180913
57,600,3.0,11290,3170,0.2807794508414526
58,1000,25.0,22916,4328,0.1888636760342119
59,300,7.5,20131,2892,0.1436590333316775
60,750,37.5,89382,15,0.00016781902396455662
61,200,20.0,78712,11,0.00013974997459091372
62,600,9.0,12056,4412,0.3659588586595886
63,300,75.0,90428,0,0.0
64,2000,50.0,23793,5459,0.22943722943722944
65,500,7.5,11769,3972,0.337496813663013
66,750,22.5,46080,3595,0.07801649305555555
67,200,50.0,82694,0,0.0
68,500,200.0,22665,0,0.0
69,300,4.5,17744,4456,0.2511271415689811
70,600,60.0,22640,4,0.00017667844522968197
71,300,120.0,90990,0,0.0
72,1000,20.0,13231,3857,0.2915123573426045
73,750,300.0,14410,0,0.0
74,500,12.5,21653,3576,0.16515032558998752
75,750,75.0,23573,0,0.0
76,2000,40.0,14052,5034,0.3582408198121264
77,1000,30.0,47481,4175,0.08792990880562751
78,1500,22.5,13636,6013,0.44096509240246407
79,1500,30.0,13578,4656,0.34290764471939905
80,500,5.0,11684,2500,0.2139678192399863
81,600,30.0,90633,36,0.00039720631558041775
82,3000,750.0,14884,0,0.0
83,1000,100.0,14503,0,0.0
84,300,15.0,85049,122,0.001434467189502522
85,400,8.0,19611,4964,0.2531232471572077
86,400,2.0,18131,3796,0.20936517566598642
87,400,4.0,18630,3544,0.1902308105206656
88,3000,30.0,13435,7831,0.5828805359136584
89,3000,45.0,13924,6885,0.49446997989083596
90,750,11.25,12569,4716,0.3752088471636566
91,750,3.75,11718,3681,0.3141321044546851
92,1000,400.0,14852,0,0.0
93,1500,150.0,24630,0,0.0
94,2000,60.0,47605,4982,0.10465287259741624
95,2000,800.0,15067,0,0.0
96,1000,50.0,46852,0,0.0
97,500,125.0,45903,0,0.0
98,400,40.0,44254,7,0.00015817779183802593
99,750,18.75,22514,4005,0.17788931331615884
