,xmass,phimass,oEvents,cEvents,eff
0,300,30.0,86246,2,2.318948125130441e-05
1,500,50.0,44863,0,0.0
2,200,10.0,81156,174,0.002144018926511903
3,3000,30.0,13477,7886,0.5851450619574089
4,3000,15.0,13404,7247,0.540659504625485
5,1500,45.0,48244,4674,0.09688251388773733
6,2000,10.0,13069,6011,0.459943377458107
7,1500,75.0,49167,4,8.135538064148717e-05
8,3000,90.0,47690,5221,0.10947787796183686
9,3000,150.0,24033,0,0.0
10,1000,250.0,24474,0,0.0
11,750,7.5,12468,3731,0.29924606993904396
12,2000,100.0,24055,0,0.0
13,500,25.0,90916,62,0.0006819481719389326
14,300,75.0,88791,0,0.0
15,1500,375.0,14886,0,0.0
16,300,1.5,17745,2519,0.1419554804170189
17,400,10.0,21234,3323,0.15649430159178676
18,3000,60.0,14029,5309,0.37843039418347707
19,500,2.5,9962,2233,0.2241517767516563
20,300,9.0,42088,2768,0.06576696445542672
21,200,80.0,86092,0,0.0
22,300,3.0,18361,2546,0.13866347148848102
23,1500,7.5,13158,5440,0.4134366925064599
24,3000,300.0,14904,0,0.0
25,3000,1200.0,15074,0,0.0
26,750,187.5,24201,0,0.0
27,400,100.0,44189,0,0.0
28,600,240.0,24395,0,0.0
29,400,20.0,90023,55,0.0006109549781722448
30,1500,37.5,23580,5164,0.2189991518235793
31,2000,30.0,13717,6380,0.46511627906976744
32,3000,75.0,24090,5855,0.24304690743046908
33,2000,500.0,15156,0,0.0
34,400,12.0,43709,3096,0.07083209407673477
35,2000,200.0,14644,0,0.0
36,1500,600.0,14627,0,0.0
37,600,150.0,23847,0,0.0
38,300,6.0,19205,4260,0.22181723509502735
39,1000,5.0,12383,4386,0.35419526770572557
40,2000,20.0,13137,6748,0.5136636979523483
41,1500,15.0,12654,5710,0.45124071439860913
42,3000,45.0,13931,6815,0.48919675543751345
43,1000,15.0,13213,5375,0.40679633694089157
44,750,15.0,22141,6461,0.29181157129307617
45,600,15.0,22206,3838,0.1728361704043952
46,500,15.0,44103,3331,0.07552774187696983
47,600,12.0,21518,5932,0.275676178083465
48,500,10.0,21278,5593,0.2628536516589905
49,200,3.0,35318,4679,0.13248202049946203
50,200,2.0,33561,2025,0.06033789219629927
51,200,1.0,34169,2805,0.08209195469577688
52,400,160.0,46713,0,0.0
53,200,6.0,75124,4298,0.057212076034289974
54,200,5.0,35295,4095,0.11602209944751381
55,200,4.0,36469,5268,0.1444514519180674
56,600,6.0,12138,3050,0.25127698138078763
57,600,3.0,11591,3045,0.2627038219308084
58,1000,25.0,23050,4421,0.1918004338394794
59,300,7.5,20246,2804,0.1384964931344463
60,750,37.5,91517,14,0.0001529770425166909
61,200,20.0,78894,14,0.00017745329175856213
62,600,9.0,12142,4230,0.3483775325317081
63,2000,50.0,22534,5245,0.23275938581698766
64,500,7.5,12220,4114,0.33666121112929626
65,750,22.5,46537,3754,0.08066699615359821
66,200,50.0,82447,0,0.0
67,500,200.0,23952,0,0.0
68,300,4.5,18201,4383,0.24081094445360146
69,600,60.0,23414,0,0.0
70,300,120.0,90709,0,0.0
71,1000,20.0,13403,4086,0.30485712153995376
72,750,300.0,14338,0,0.0
73,500,12.5,21907,3684,0.16816542657598027
74,750,75.0,24037,0,0.0
75,2000,40.0,14159,5166,0.3648562751606752
76,1000,30.0,47436,4035,0.08506197824437137
77,1500,22.5,13236,5780,0.4366878210939861
78,1500,30.0,13878,4680,0.33722438391699094
79,500,5.0,11615,2624,0.22591476538958244
80,600,30.0,93727,22,0.00023472425234990983
81,3000,750.0,15183,0,0.0
82,1000,100.0,24109,0,0.0
83,300,15.0,87388,105,0.0012015379685998077
84,400,8.0,20107,4991,0.24822201223454518
85,400,2.0,18903,3586,0.18970533777707244
86,400,4.0,18965,3516,0.1853941471131031
87,400,6.0,18930,5530,0.29212889593238245
88,600,18.0,45784,3512,0.07670802026908964
89,1000,10.0,12672,4396,0.34690656565656564
90,750,11.25,12601,4762,0.3779065153559241
91,750,3.75,12152,3520,0.2896642527978934
92,1000,400.0,14780,0,0.0
93,1500,150.0,24347,0,0.0
94,2000,60.0,47412,4952,0.10444613178098372
95,2000,800.0,14843,0,0.0
96,1000,50.0,47266,10,0.00021156856937333389
97,500,125.0,45506,0,0.0
98,400,40.0,45336,3,6.617257808364214e-05
99,750,18.75,22653,3994,0.17631218823113937
