X Mass,Phi Mass,N Events
200,1,49947
200,2,49674
200,3,48758
200,4,48913
200,5,49049
200,6,99587
200,10,100237
200,20,97832
200,50,98460
200,80,98303
300,1.5,24997
300,3,25036
300,4.5,24159
300,6,24703
300,7.5,25243
300,9,50547
300,15,99574
300,30,97356
300,75,100865
300,120,101141
400,2,25080
400,4,25002
400,6,24213
400,8,24521
400,10,24748
400,12,49487
400,20,94089
400,40,49022
400,100,48601
400,160,49336
500,2.5,15043
500,5,15109
500,7.5,14935
500,10,24931
500,12.5,25291
500,15,49913
500,25,99960
500,50,44968
500,125,48847
500,200,24060
600,3,14810
600,6,14852
600,9,
600,12,23992
600,15,25069
600,18,49757
600,30,98013
600,60,24178
600,150,24909
600,240,24792
750,3.75,14880
750,7.5,14999
750,11.25,15023
750,15,24228
750,18.75,25244
750,22.5,50141
750,37.5,95084
750,75,24800
750,187.5,24680
750,300,14872
1000,5,14835
1000,10,14868
1000,15,13837
1000,20,14871
1000,25,24982
1000,30,50779
1000,50,49224
1000,100,15050
1000,250,25320
1000,400,15143
1500,7.5,15027
1500,15,13924
1500,22.5,15402
1500,30,14873
1500,37.5,24738
1500,45,46912
1500,75,49149
1500,150,25335
1500,375,14930
1500,600,15008
2000,10,15179
2000,20,15176
2000,30,14879
2000,40,15132
2000,50,25268
2000,60,49853
2000,100,25489
2000,200,14798
2000,500,15048
2000,800,15157
3000,15,15263
3000,30,14879
3000,45,15056
3000,60,15143
3000,75,25136
3000,90,49776
3000,150,20978
3000,300,15117
3000,750,14972
3000,1200,15006
